Timestamp,Total Occupancy,Unique Chokepoint Footfall,Total People Identified
2026-06-30 15:37:02,13,0,19
2026-06-30 15:37:07,29,0,62
2026-06-30 15:37:12,27,0,93
2026-06-30 15:37:17,20,0,147
2026-06-30 15:37:22,18,0,170
2026-06-30 15:37:27,17,0,192
2026-06-30 15:37:32,20,0,210
2026-06-30 15:37:37,17,0,226
2026-06-30 15:37:42,18,0,246
2026-06-30 15:37:47,22,0,261
2026-06-30 15:37:52,25,0,279
2026-06-30 15:37:57,20,0,290
2026-06-30 15:38:02,24,0,308
2026-06-30 15:38:08,26,0,327
2026-06-30 15:38:13,22,0,345
2026-06-30 15:38:18,21,0,358
2026-06-30 15:38:24,25,0,380
2026-06-30 15:38:29,20,0,393
2026-06-30 15:38:34,24,0,405
2026-06-30 15:38:39,20,0,420
2026-06-30 15:38:44,27,0,442
2026-06-30 15:38:49,23,0,457
2026-06-30 15:38:54,26,0,477
2026-06-30 15:39:00,28,0,494
2026-06-30 15:39:05,19,0,505
2026-06-30 15:39:11,19,0,520
2026-06-30 15:39:16,19,0,540
2026-06-30 15:39:21,19,0,555
2026-06-30 15:39:26,18,0,570
2026-06-30 15:39:31,14,0,584
2026-06-30 15:39:36,13,0,596
2026-06-30 15:39:42,27,0,617
2026-06-30 15:39:47,18,0,624
2026-06-30 15:39:52,24,0,637
2026-06-30 15:39:57,21,0,651
