2026-06-30 14:34:21,23,0,466
2026-06-30 14:34:26,17,0,467
2026-06-30 14:34:31,23,0,482
2026-06-30 14:34:36,22,0,496
2026-06-30 14:34:41,25,0,514
2026-06-30 14:34:46,26,0,533
2026-06-30 14:34:52,18,0,541
2026-06-30 14:34:57,20,0,558
2026-06-30 14:35:02,25,0,573
2026-06-30 14:35:07,21,0,590
2026-06-30 14:35:12,20,0,603
2026-06-30 14:35:17,18,0,621
2026-06-30 14:35:22,22,0,640
2026-06-30 14:35:27,21,0,655
2026-06-30 14:35:32,23,0,664
2026-06-30 14:35:37,24,0,681
2026-06-30 14:35:42,29,0,701
2026-06-30 14:35:48,29,0,718
2026-06-30 14:35:54,32,0,739
2026-06-30 14:35:59,22,0,754
2026-06-30 14:36:05,24,0,773
2026-06-30 14:36:12,24,0,792
2026-06-30 14:36:17,23,0,812
2026-06-30 14:36:23,21,0,827
2026-06-30 14:36:28,21,0,843
2026-06-30 14:36:34,19,0,859
2026-06-30 14:36:39,20,0,872
2026-06-30 14:36:44,14,0,878
2026-06-30 14:36:49,19,0,891
2026-06-30 14:36:54,23,0,908
2026-06-30 14:36:59,22,0,927
2026-06-30 14:37:05,21,0,944
2026-06-30 14:37:10,17,0,952
2026-06-30 14:37:15,25,0,971
2026-06-30 14:37:21,16,0,983
2026-06-30 14:37:27,28,0,1004
2026-06-30 14:37:32,21,0,1019
2026-06-30 14:37:39,18,0,1037
2026-06-30 14:37:45,18,0,1054
2026-06-30 14:37:50,14,0,1062
2026-06-30 14:37:56,15,0,1076
2026-06-30 14:38:01,22,0,1093
2026-06-30 14:38:06,22,0,1108
2026-06-30 14:38:13,17,0,1123
2026-06-30 14:38:20,26,0,1141
2026-06-30 14:38:25,20,0,1152
2026-06-30 14:38:32,17,0,1166
2026-06-30 14:38:37,24,0,1182
2026-06-30 14:38:42,21,0,1198
2026-06-30 14:38:49,15,0,1211
2026-06-30 14:38:55,23,0,1226
2026-06-30 14:39:02,27,0,1246
2026-06-30 14:39:08,23,0,1263
2026-06-30 14:39:14,20,0,1275
2026-06-30 14:39:21,20,0,1291
2026-06-30 14:39:28,21,0,1304
2026-06-30 14:39:33,24,0,1320
2026-06-30 14:39:38,26,0,1335
2026-06-30 14:39:43,23,0,1348
2026-06-30 14:39:49,23,0,1360
2026-06-30 14:39:54,24,0,1372
2026-06-30 14:40:00,18,0,1385
2026-06-30 14:40:07,23,0,1402
2026-06-30 14:40:12,20,0,1413
2026-06-30 14:40:19,19,0,1428
2026-06-30 14:40:28,33,0,1451
2026-06-30 14:40:33,21,0,1477
2026-06-30 14:40:39,19,0,1483
2026-06-30 14:40:44,19,0,1490
2026-06-30 14:40:51,21,0,1496
2026-06-30 14:40:56,15,0,1504
2026-06-30 14:41:01,24,0,1531
2026-06-30 14:41:06,26,0,1551
2026-06-30 14:41:11,18,0,1562
2026-06-30 14:41:17,25,0,1572
2026-06-30 14:41:22,25,0,1592
2026-06-30 14:41:27,20,0,1611
2026-06-30 14:41:33,16,0,1624
2026-06-30 14:41:39,24,0,1639
2026-06-30 14:41:44,24,0,1656
2026-06-30 14:41:51,27,0,1666
2026-06-30 14:41:56,24,0,1671
