Timestamp,Total Occupancy,Unique Chokepoint Footfall,Total People Identified
2026-06-30 15:26:46,19,0,28
2026-06-30 15:26:51,24,0,58
2026-06-30 15:26:56,16,0,76
2026-06-30 15:27:01,20,0,94
2026-06-30 15:27:06,21,0,108
2026-06-30 15:27:12,25,0,131
2026-06-30 15:27:17,26,0,149
2026-06-30 15:27:22,20,0,164
2026-06-30 15:27:27,28,0,184
2026-06-30 15:27:32,20,0,196
2026-06-30 15:27:37,22,0,209
2026-06-30 15:27:42,30,0,232
2026-06-30 15:27:47,24,0,251
2026-06-30 15:27:52,21,0,265
2026-06-30 15:27:57,26,0,287
2026-06-30 15:28:02,22,0,306
2026-06-30 15:28:08,28,0,330
2026-06-30 15:28:13,23,0,343
2026-06-30 15:28:19,23,0,365
2026-06-30 15:28:24,27,0,382
2026-06-30 15:28:29,26,0,404
2026-06-30 15:28:34,21,0,416
2026-06-30 15:28:39,20,0,431
2026-06-30 15:28:44,25,0,452
2026-06-30 15:28:50,21,0,470
2026-06-30 15:28:55,23,0,487
2026-06-30 15:29:00,25,0,506
2026-06-30 15:29:06,27,0,529
2026-06-30 15:29:11,27,0,545
2026-06-30 15:29:17,21,0,566
2026-06-30 15:29:22,25,0,579
2026-06-30 15:29:27,21,0,594
2026-06-30 15:29:33,27,0,616
2026-06-30 15:29:38,25,0,637
2026-06-30 15:29:44,22,0,652
2026-06-30 15:29:50,30,0,672
2026-06-30 15:29:55,26,0,691
2026-06-30 15:30:01,24,0,706
2026-06-30 15:30:06,24,0,721
2026-06-30 15:30:12,30,0,742
2026-06-30 15:30:17,26,0,758
2026-06-30 15:30:22,28,0,772
2026-06-30 15:30:28,29,0,787
2026-06-30 15:30:33,26,0,801
2026-06-30 15:30:39,25,0,814
2026-06-30 15:30:44,21,0,825
2026-06-30 15:30:49,20,0,836
2026-06-30 15:30:56,28,0,865
2026-06-30 15:31:01,23,0,878
2026-06-30 15:31:06,20,0,893
2026-06-30 15:31:12,24,0,912
2026-06-30 15:31:17,20,0,927
2026-06-30 15:31:23,19,0,941
2026-06-30 15:31:28,19,0,958
2026-06-30 15:31:33,23,0,971
2026-06-30 15:31:39,26,0,991
2026-06-30 15:31:44,19,0,1003
2026-06-30 15:31:50,20,0,1019
2026-06-30 15:31:55,19,0,1031
2026-06-30 15:32:02,27,0,1052
2026-06-30 15:32:07,20,0,1066
2026-06-30 15:32:13,23,0,1083
2026-06-30 15:32:18,11,0,1093
2026-06-30 15:32:24,24,0,1113
2026-06-30 15:32:30,24,0,1132
2026-06-30 15:32:35,19,0,1148
2026-06-30 15:32:42,25,0,1162
2026-06-30 15:32:48,23,0,1183
2026-06-30 15:32:53,12,0,1191
2026-06-30 15:32:59,24,0,1207
2026-06-30 15:33:05,27,0,1226
2026-06-30 15:33:10,15,0,1238
2026-06-30 15:33:16,16,0,1250
2026-06-30 15:33:21,13,0,1263
2026-06-30 15:33:27,13,0,1273
2026-06-30 15:33:32,17,0,1284
2026-06-30 15:33:37,17,0,1293
2026-06-30 15:33:45,23,0,1314
2026-06-30 15:33:50,18,0,1328
2026-06-30 15:33:59,24,0,1346
2026-06-30 15:34:05,24,0,1363
2026-06-30 15:34:11,18,0,1373
2026-06-30 15:34:16,16,0,1385
2026-06-30 15:34:21,12,0,1388
2026-06-30 15:34:26,21,0,1403
2026-06-30 15:34:31,18,0,1414
2026-06-30 15:34:36,23,0,1431
2026-06-30 15:34:41,20,0,1443
2026-06-30 15:34:46,18,0,1457
2026-06-30 15:34:51,23,0,1469
2026-06-30 15:34:56,20,0,1486
2026-06-30 15:35:01,20,0,1497
2026-06-30 15:35:07,21,0,1514
2026-06-30 15:35:12,22,0,1526
2026-06-30 15:35:17,18,0,1538
2026-06-30 15:35:24,20,0,1553
2026-06-30 15:35:30,20,0,1571
2026-06-30 15:35:35,20,0,1591
2026-06-30 15:35:40,18,0,1602
2026-06-30 15:35:47,22,0,1626
2026-06-30 15:35:52,28,0,1643
2026-06-30 15:35:57,21,0,1656
2026-06-30 15:36:02,26,0,1678
2026-06-30 15:36:07,26,0,1692
2026-06-30 15:36:12,26,0,1705
2026-06-30 15:36:18,21,0,1720
2026-06-30 15:36:23,25,0,1730
2026-06-30 15:36:29,16,0,1743
2026-06-30 15:36:37,33,0,1781
2026-06-30 15:36:42,18,0,1799
2026-06-30 15:36:47,19,0,1815
