Timestamp,Total Occupancy,Unique Chokepoint Footfall,Total People Identified
2026-06-29 20:00:57,14,0,20
2026-06-29 20:01:02,24,0,81
2026-06-29 20:01:07,19,0,135
2026-06-29 20:01:12,21,0,202
2026-06-29 20:01:17,20,0,234
2026-06-29 20:01:22,26,0,262
2026-06-29 20:01:27,26,0,303
2026-06-29 20:01:32,25,0,327
2026-06-29 20:01:37,27,0,358
2026-06-29 20:01:42,22,0,399
2026-06-29 20:01:47,20,0,429
2026-06-29 20:01:53,20,0,461
2026-06-29 20:01:58,23,0,480
2026-06-29 20:02:03,25,0,516
2026-06-29 20:02:08,27,0,567
2026-06-29 20:02:13,28,0,611
2026-06-29 20:02:18,25,0,650
2026-06-29 20:02:23,24,0,698
2026-06-29 20:02:28,24,0,738
2026-06-29 20:02:33,27,0,772
2026-06-29 20:02:38,24,0,808
2026-06-29 20:02:43,25,0,836
2026-06-29 20:02:49,23,0,865
2026-06-29 20:02:54,21,0,896
2026-06-29 20:02:59,20,0,915
2026-06-29 20:03:04,26,0,942
2026-06-29 20:03:09,23,0,959
2026-06-29 20:03:14,22,0,977
2026-06-29 20:03:19,28,0,1001
2026-06-29 20:03:24,23,0,1029
2026-06-29 20:03:30,23,0,1048
2026-06-29 20:03:35,26,0,1067
2026-06-29 20:03:40,21,0,1086
2026-06-29 20:03:45,20,0,1104
2026-06-29 20:03:50,19,0,1123
2026-06-29 20:03:55,21,0,1141
2026-06-29 20:04:00,16,0,1154
2026-06-29 20:04:05,24,0,1173
2026-06-29 20:04:10,28,0,1198
2026-06-29 20:04:15,30,0,1227
2026-06-29 20:04:21,26,0,1257
2026-06-29 20:04:26,26,0,1280
2026-06-29 20:04:31,29,0,1297
2026-06-29 20:04:37,28,0,1321
2026-06-29 20:04:42,28,0,1340
