Timestamp,Total Occupancy,Unique Chokepoint Footfall,Total People Identified
2026-06-30 16:30:45,13,0,13
2026-06-30 16:30:50,25,0,28
2026-06-30 16:30:55,26,0,32
2026-06-30 16:31:00,26,0,32
2026-06-30 16:31:05,26,0,32
2026-06-30 16:31:10,26,0,32
2026-06-30 16:31:15,26,0,32
2026-06-30 16:31:20,26,0,32
2026-06-30 16:31:25,26,0,32
2026-06-30 16:31:30,26,0,32
2026-06-30 16:31:35,26,0,32
2026-06-30 16:31:40,26,0,32
2026-06-30 16:31:46,26,0,32
2026-06-30 16:31:51,26,0,32
2026-06-30 16:31:56,26,0,32
2026-06-30 16:32:01,26,0,32
2026-06-30 16:32:06,26,0,32
2026-06-30 16:32:11,26,0,32
2026-06-30 16:32:16,26,0,32
2026-06-30 16:32:21,26,0,32
