Timestamp,Total Occupancy,Unique Chokepoint Footfall,Total People Identified
2026-06-29 19:44:00,17,0,23
2026-06-29 19:44:05,22,0,68
2026-06-29 19:44:10,20,0,101
2026-06-29 19:44:15,17,0,123
2026-06-29 19:44:20,21,0,156
2026-06-29 19:44:25,11,0,174
2026-06-29 19:44:30,20,0,209
2026-06-29 19:44:35,19,0,240
2026-06-29 19:44:41,20,0,277
2026-06-29 19:44:46,20,0,305
2026-06-29 19:44:51,17,0,331
2026-06-29 19:44:56,23,0,362
2026-06-29 19:45:01,23,0,389
2026-06-29 19:45:06,18,0,412
2026-06-29 19:45:11,19,0,442
2026-06-29 19:45:16,25,0,465
2026-06-29 19:45:22,17,0,490
2026-06-29 19:45:27,15,0,517
2026-06-29 19:45:32,19,0,536
2026-06-29 19:45:37,15,0,561
2026-06-29 19:45:42,19,0,586
2026-06-29 19:45:47,14,0,605
2026-06-29 19:45:53,19,0,638
2026-06-29 19:45:58,21,0,659
2026-06-29 19:46:03,13,0,669
2026-06-29 19:46:09,17,0,687
2026-06-29 19:46:14,19,0,702
2026-06-29 19:46:19,14,0,718
2026-06-29 19:46:24,15,0,732
2026-06-29 19:46:29,17,0,744
2026-06-29 19:46:35,20,0,759
2026-06-29 19:46:40,20,0,779
2026-06-29 19:46:45,23,0,790
2026-06-29 19:46:51,17,0,808
2026-06-29 19:46:56,18,0,824
2026-06-29 19:47:01,19,0,839
2026-06-29 19:47:06,16,0,849
2026-06-29 19:47:11,19,0,861
2026-06-29 19:47:16,15,0,874
2026-06-29 19:47:21,21,0,890
2026-06-29 19:47:27,15,0,905
