Timestamp,Total Occupancy,Unique Chokepoint Footfall,Total People Identified
2026-06-30 15:00:58,7,0,7
2026-06-30 15:01:03,13,0,19
2026-06-30 15:01:08,15,0,44
2026-06-30 15:01:13,15,0,44
2026-06-30 15:01:18,15,0,44
2026-06-30 15:01:23,9,0,47
2026-06-30 15:01:28,9,0,47
2026-06-30 15:01:33,9,0,47
2026-06-30 15:01:38,9,0,47
2026-06-30 15:01:43,9,0,47
2026-06-30 15:01:48,9,0,47
2026-06-30 15:01:53,10,0,49
2026-06-30 15:01:58,10,0,49
2026-06-30 15:02:03,10,0,49
2026-06-30 15:02:08,10,0,49
2026-06-30 15:02:13,10,0,49
2026-06-30 15:02:18,10,0,49
2026-06-30 15:02:23,11,0,53
2026-06-30 15:02:28,11,0,53
2026-06-30 15:02:33,11,0,53
2026-06-30 15:02:38,11,0,53
2026-06-30 15:02:43,11,0,53
2026-06-30 15:02:48,11,0,53
2026-06-30 15:02:53,11,0,53
2026-06-30 15:02:58,11,0,53
2026-06-30 15:03:03,11,0,53
2026-06-30 15:03:08,11,0,53
2026-06-30 15:03:13,11,0,53
2026-06-30 15:03:18,11,0,53
2026-06-30 15:03:23,11,0,53
2026-06-30 15:03:28,11,0,53
2026-06-30 15:03:33,11,0,53
2026-06-30 15:03:38,11,0,53
2026-06-30 15:03:43,11,0,53
2026-06-30 15:03:48,11,0,53
2026-06-30 15:03:53,11,0,53
