Timestamp,Total Occupancy,Unique Chokepoint Footfall,Total People Identified
2026-06-29 20:05:00,14,0,14
2026-06-29 20:05:05,13,0,61
2026-06-29 20:05:10,25,0,101
2026-06-29 20:05:15,26,0,145
2026-06-29 20:05:20,22,0,206
2026-06-29 20:05:25,24,0,243
2026-06-29 20:05:30,25,0,270
2026-06-29 20:05:35,24,0,309
2026-06-29 20:05:41,25,0,340
2026-06-29 20:05:46,22,0,378
2026-06-29 20:05:51,20,0,401
2026-06-29 20:05:56,21,0,426
2026-06-29 20:06:01,22,0,455
2026-06-29 20:06:07,25,0,482
2026-06-29 20:06:12,22,0,507
2026-06-29 20:06:17,23,0,537
2026-06-29 20:06:22,22,0,561
2026-06-29 20:06:27,25,0,582
2026-06-29 20:06:32,17,0,607
2026-06-29 20:06:38,19,0,629
2026-06-29 20:06:43,16,0,650
2026-06-29 20:06:48,14,0,671
2026-06-29 20:06:53,17,0,691
2026-06-29 20:06:59,21,0,715
2026-06-29 20:07:04,20,0,727
2026-06-29 20:07:09,20,0,743
2026-06-29 20:07:15,14,0,764
2026-06-29 20:07:20,21,0,782
2026-06-29 20:07:26,19,0,795
2026-06-29 20:07:31,23,0,812
2026-06-29 20:07:36,18,0,832
2026-06-29 20:07:41,16,0,847
2026-06-29 20:07:46,12,0,859
2026-06-29 20:07:52,16,0,871
2026-06-29 20:07:58,18,0,891
2026-06-29 20:08:03,20,0,908
2026-06-29 20:08:08,24,0,925
2026-06-29 20:08:14,18,0,941
2026-06-29 20:08:20,18,0,955
2026-06-29 20:08:25,23,0,972
2026-06-29 20:08:30,18,0,985
2026-06-29 20:08:36,21,0,998
2026-06-29 20:08:41,18,0,1012
2026-06-29 20:08:47,15,0,1026
2026-06-29 20:08:52,19,0,1042
2026-06-29 20:08:57,12,0,1055
2026-06-29 20:09:02,16,0,1068
2026-06-29 20:09:07,21,0,1077
2026-06-29 20:09:14,21,0,1092
2026-06-29 20:09:19,20,0,1104
2026-06-29 20:09:24,17,0,1114
2026-06-29 20:09:32,16,0,1131
2026-06-29 20:09:37,12,0,1141
2026-06-29 20:09:42,15,0,1148
2026-06-29 20:09:47,14,0,1158
2026-06-29 20:09:54,18,0,1172
2026-06-29 20:10:00,18,0,1185
2026-06-29 20:10:05,22,0,1196
2026-06-29 20:10:11,18,0,1208
2026-06-29 20:10:16,16,0,1219
2026-06-29 20:10:21,21,0,1232
2026-06-29 20:10:26,14,0,1242
2026-06-29 20:10:32,25,0,1255
2026-06-29 20:10:37,20,0,1263
2026-06-29 20:10:43,17,0,1278
2026-06-29 20:10:49,17,0,1290
2026-06-29 20:10:54,12,0,1301
2026-06-29 20:10:59,14,0,1311
2026-06-29 20:11:05,19,0,1318
2026-06-29 20:11:11,23,0,1328
2026-06-29 20:11:17,21,0,1335
2026-06-29 20:11:25,21,0,1348
2026-06-29 20:11:30,11,0,1358
2026-06-29 20:11:35,10,0,1366
2026-06-29 20:11:40,12,0,1373
2026-06-29 20:11:45,13,0,1380
2026-06-29 20:11:51,9,0,1393
2026-06-29 20:11:59,24,0,1411
2026-06-29 20:12:07,19,0,1428
2026-06-29 20:12:13,15,0,1435
2026-06-29 20:12:18,20,0,1443
2026-06-29 20:12:24,19,0,1455
2026-06-29 20:12:29,23,0,1466
2026-06-29 20:12:35,22,0,1471
2026-06-29 20:12:40,18,0,1480
2026-06-29 20:12:46,24,0,1491
2026-06-29 20:12:51,15,0,1496
2026-06-29 20:12:57,13,0,1504
2026-06-29 20:13:04,24,0,1507
2026-06-29 20:13:10,19,0,1516
2026-06-29 20:13:15,19,0,1522
2026-06-29 20:13:21,17,0,1527
2026-06-29 20:13:27,19,0,1536
2026-06-29 20:13:34,19,0,1546
2026-06-29 20:13:39,16,0,1555
2026-06-29 20:13:45,22,0,1564
2026-06-29 20:13:52,18,0,1574
2026-06-29 20:13:57,23,0,1584
2026-06-29 20:14:04,22,0,1596
2026-06-29 20:14:11,21,0,1607
2026-06-29 20:14:16,20,0,1617
2026-06-29 20:14:21,22,0,1626
2026-06-29 20:14:27,26,0,1634
2026-06-29 20:14:35,19,0,1647
2026-06-29 20:14:40,22,0,1655
2026-06-29 20:14:46,13,0,1660
2026-06-29 20:14:52,16,0,1671
2026-06-29 20:14:58,20,0,1675
2026-06-29 20:15:03,18,0,1679
2026-06-29 20:15:09,20,0,1686
2026-06-29 20:15:15,20,0,1694
2026-06-29 20:15:21,13,0,1700
2026-06-29 20:15:27,13,0,1706
2026-06-29 20:15:34,18,0,1713
2026-06-29 20:15:40,15,0,1718
2026-06-29 20:15:45,17,0,1722
2026-06-29 20:15:50,25,0,1729
2026-06-29 20:15:56,18,0,1735
2026-06-29 20:16:03,19,0,1745
2026-06-29 20:16:09,20,0,1753
2026-06-29 20:16:14,15,0,1762
2026-06-29 20:16:19,21,0,1768
2026-06-29 20:16:24,17,0,1775
2026-06-29 20:16:29,11,0,1781
2026-06-29 20:16:34,15,0,1789
2026-06-29 20:16:40,16,0,1794
2026-06-29 20:16:45,18,0,1801
2026-06-29 20:16:50,16,0,1803
2026-06-29 20:16:56,19,0,1811
2026-06-29 20:17:05,23,0,1815
2026-06-29 20:17:11,19,0,1821
2026-06-29 20:17:17,14,0,1826
2026-06-29 20:17:23,17,0,1833
2026-06-29 20:17:29,17,0,1836
2026-06-29 20:17:34,15,0,1838
2026-06-29 20:17:42,17,0,1844
2026-06-29 20:17:47,20,0,1852
2026-06-29 20:17:53,22,0,1858
2026-06-29 20:18:00,18,0,1867
2026-06-29 20:18:06,18,0,1872
2026-06-29 20:18:12,17,0,1877
2026-06-29 20:18:18,21,0,1884
2026-06-29 20:18:24,16,0,1890
2026-06-29 20:18:30,18,0,1897
2026-06-29 20:18:36,17,0,1906
2026-06-29 20:18:41,17,0,1911
2026-06-29 20:18:46,15,0,1920
2026-06-29 20:18:51,15,0,1927
2026-06-29 20:18:57,22,0,1928
2026-06-29 20:19:03,20,0,1934
2026-06-29 20:19:11,17,0,1944
2026-06-29 20:19:16,18,0,1947
2026-06-29 20:19:21,20,0,1955
2026-06-29 20:19:27,16,0,1959
2026-06-29 20:19:33,20,0,1962
2026-06-29 20:19:40,21,0,1966
2026-06-29 20:19:45,17,0,1972
2026-06-29 20:19:51,20,0,1979
2026-06-29 20:19:59,19,0,1986
2026-06-29 20:20:04,23,0,1991
2026-06-29 20:20:10,21,0,1999
2026-06-29 20:20:16,17,0,2004
2026-06-29 20:20:21,13,0,2017
2026-06-29 20:20:27,20,0,2026
2026-06-29 20:20:34,17,0,2031
2026-06-29 20:20:40,17,0,2037
2026-06-29 20:20:45,17,0,2044
2026-06-29 20:20:51,22,0,2049
2026-06-29 20:20:56,23,0,2060
2026-06-29 20:21:01,20,0,2068
2026-06-29 20:21:08,25,0,2076
2026-06-29 20:21:13,23,0,2088
2026-06-29 20:21:19,19,0,2100
2026-06-29 20:21:25,14,0,2104
2026-06-29 20:21:30,17,0,2109
2026-06-29 20:21:38,24,0,2122
2026-06-29 20:21:47,21,0,2133
2026-06-29 20:21:52,21,0,2139
2026-06-29 20:21:58,19,0,2143
2026-06-29 20:22:06,19,0,2147
2026-06-29 20:22:12,22,0,2153
2026-06-29 20:22:18,20,0,2158
2026-06-29 20:22:24,24,0,2163
2026-06-29 20:22:32,20,0,2170
2026-06-29 20:22:37,19,0,2175
2026-06-29 20:22:46,24,0,2179
2026-06-29 20:22:54,24,0,2188
2026-06-29 20:23:00,18,0,2191
2026-06-29 20:23:08,18,0,2194
2026-06-29 20:23:14,21,0,2198
2026-06-29 20:23:20,13,0,2202
2026-06-29 20:23:26,19,0,2207
2026-06-29 20:23:34,19,0,2210
2026-06-29 20:23:39,17,0,2212
2026-06-29 20:23:48,25,0,2220
2026-06-29 20:23:53,20,0,2225
2026-06-29 20:23:59,18,0,2230
2026-06-29 20:24:05,24,0,2235
2026-06-29 20:24:10,21,0,2239
2026-06-29 20:24:16,23,0,2243
2026-06-29 20:24:23,22,0,2250
2026-06-29 20:24:30,18,0,2258
2026-06-29 20:24:37,20,0,2265
2026-06-29 20:24:44,22,0,2267
2026-06-29 20:24:52,27,0,2275
2026-06-29 20:24:57,20,0,2279
2026-06-29 20:25:03,18,0,2281
2026-06-29 20:25:10,21,0,2285
2026-06-29 20:25:16,9,0,2287
2026-06-29 20:25:22,15,0,2290
2026-06-29 20:25:30,16,0,2294
2026-06-29 20:25:35,21,0,2299
2026-06-29 20:25:41,23,0,2310
2026-06-29 20:25:47,23,0,2319
