Timestamp,Total Occupancy,Unique Chokepoint Footfall,Total People Identified
2026-06-30 17:38:31,14,0,23
2026-06-30 17:38:36,23,0,68
2026-06-30 17:38:41,16,0,83
2026-06-30 17:38:46,22,0,98
2026-06-30 17:38:51,25,0,115
2026-06-30 17:38:56,17,0,128
2026-06-30 17:39:01,24,0,150
2026-06-30 17:39:06,27,0,172
2026-06-30 17:39:11,27,0,194
2026-06-30 17:39:16,23,0,211
2026-06-30 17:39:21,18,0,221
2026-06-30 17:39:26,25,0,245
2026-06-30 17:39:31,24,0,261
2026-06-30 17:39:36,23,0,277
2026-06-30 17:39:42,24,0,295
2026-06-30 17:39:47,23,0,309
2026-06-30 17:39:53,26,0,336
2026-06-30 17:39:58,21,0,350
2026-06-30 17:40:03,23,0,374
2026-06-30 17:40:09,24,0,391
2026-06-30 17:40:14,27,0,407
2026-06-30 17:40:20,30,0,430
2026-06-30 17:40:25,24,0,447
2026-06-30 17:40:30,20,0,459
2026-06-30 17:40:36,21,0,472
2026-06-30 17:40:41,19,0,488
2026-06-30 17:40:47,23,0,507
2026-06-30 17:40:53,25,0,525
2026-06-30 17:40:59,24,0,543
2026-06-30 17:41:05,23,0,561
2026-06-30 17:41:10,19,0,586
2026-06-30 17:41:16,24,0,604
2026-06-30 17:41:21,25,0,610
2026-06-30 17:41:26,23,0,627
2026-06-30 17:41:32,22,0,636
2026-06-30 17:41:37,27,0,647
2026-06-30 17:41:42,18,0,661
2026-06-30 17:41:47,24,0,679
2026-06-30 17:41:52,16,0,689
2026-06-30 17:41:57,19,0,702
2026-06-30 17:42:02,23,0,719
2026-06-30 17:42:08,28,0,737
2026-06-30 17:42:14,28,0,756
2026-06-30 17:42:20,35,0,775
2026-06-30 17:42:25,26,0,787
2026-06-30 17:42:30,26,0,802
2026-06-30 17:42:35,23,0,818
2026-06-30 17:42:41,22,0,833
2026-06-30 17:42:46,25,0,848
2026-06-30 17:42:51,23,0,853
2026-06-30 17:42:57,24,0,870
2026-06-30 17:43:02,21,0,881
2026-06-30 17:43:09,23,0,900
2026-06-30 17:43:14,20,0,914
2026-06-30 17:43:20,23,0,931
2026-06-30 17:43:25,22,0,944
2026-06-30 17:43:31,22,0,961
2026-06-30 17:43:37,24,0,979
2026-06-30 17:43:42,29,0,993
2026-06-30 17:43:47,26,0,1007
2026-06-30 17:43:53,29,0,1026
2026-06-30 17:43:58,27,0,1038
2026-06-30 17:44:04,28,0,1057
2026-06-30 17:44:09,27,0,1071
2026-06-30 17:44:14,27,0,1083
2026-06-30 17:44:21,26,0,1102
2026-06-30 17:44:27,22,0,1117
2026-06-30 17:44:32,28,0,1131
2026-06-30 17:44:37,25,0,1143
2026-06-30 17:44:42,23,0,1155
2026-06-30 17:44:48,25,0,1169
2026-06-30 17:44:54,25,0,1184
2026-06-30 17:44:59,24,0,1194
2026-06-30 17:45:05,20,0,1210
2026-06-30 17:45:10,18,0,1223
2026-06-30 17:45:16,27,0,1240
2026-06-30 17:45:22,25,0,1254
2026-06-30 17:45:27,21,0,1262
2026-06-30 17:45:32,25,0,1276
2026-06-30 17:45:37,23,0,1286
2026-06-30 17:45:43,21,0,1300
2026-06-30 17:45:48,23,0,1308
2026-06-30 17:45:54,23,0,1320
2026-06-30 17:45:59,21,0,1330
2026-06-30 17:46:04,19,0,1340
2026-06-30 17:46:09,21,0,1352
2026-06-30 17:46:14,26,0,1365
2026-06-30 17:46:22,27,0,1385
2026-06-30 17:46:27,21,0,1398
2026-06-30 17:46:35,23,0,1418
2026-06-30 17:46:43,29,0,1434
2026-06-30 17:46:49,21,0,1446
2026-06-30 17:46:57,25,0,1458
2026-06-30 17:47:02,25,0,1472
2026-06-30 17:47:09,23,0,1485
2026-06-30 17:47:14,24,0,1497
2026-06-30 17:47:20,24,0,1511
2026-06-30 17:47:25,26,0,1519
2026-06-30 17:47:30,16,0,1527
2026-06-30 17:47:39,25,0,1547
2026-06-30 17:47:44,19,0,1555
2026-06-30 17:47:49,28,0,1568
2026-06-30 17:47:55,23,0,1581
2026-06-30 17:48:00,23,0,1591
2026-06-30 17:48:06,23,0,1602
2026-06-30 17:48:11,21,0,1609
2026-06-30 17:48:19,28,0,1627
2026-06-30 17:48:25,28,0,1637
2026-06-30 17:48:31,24,0,1648
2026-06-30 17:48:36,27,0,1657
2026-06-30 17:48:44,26,0,1672
2026-06-30 17:48:50,24,0,1684
2026-06-30 17:48:57,23,0,1698
2026-06-30 17:49:03,20,0,1709
2026-06-30 17:49:09,25,0,1723
2026-06-30 17:49:17,28,0,1737
2026-06-30 17:49:24,29,0,1750
2026-06-30 17:49:30,24,0,1762
2026-06-30 17:49:37,19,0,1773
2026-06-30 17:49:47,24,0,1792
2026-06-30 17:49:55,19,0,1809
2026-06-30 17:50:02,24,0,1823
2026-06-30 17:50:10,24,0,1839
2026-06-30 17:50:16,18,0,1844
2026-06-30 17:50:22,21,0,1856
