Timestamp,Total Occupancy,Unique Chokepoint Footfall,Total People Identified
2026-06-30 15:15:22,13,0,13
2026-06-30 15:15:27,16,0,28
2026-06-30 15:15:32,16,0,28
2026-06-30 15:15:37,16,0,28
2026-06-30 15:15:42,16,0,28
2026-06-30 15:15:47,27,0,56
2026-06-30 15:15:52,27,0,56
2026-06-30 15:15:57,28,0,57
2026-06-30 15:16:02,28,0,57
2026-06-30 15:16:07,28,0,57
2026-06-30 15:16:12,28,0,57
2026-06-30 15:16:17,28,0,57
2026-06-30 15:16:22,28,0,57
2026-06-30 15:16:27,27,0,60
2026-06-30 15:16:32,27,0,60
2026-06-30 15:16:37,27,0,60
2026-06-30 15:16:42,27,0,60
2026-06-30 15:16:47,28,0,63
2026-06-30 15:16:52,28,0,63
2026-06-30 15:16:57,28,0,63
2026-06-30 15:17:02,28,0,63
2026-06-30 15:17:07,28,0,63
2026-06-30 15:17:12,28,0,63
2026-06-30 15:17:17,28,0,63
2026-06-30 15:17:22,28,0,63
2026-06-30 15:17:27,28,0,63
2026-06-30 15:17:32,28,0,63
2026-06-30 15:17:37,28,0,63
2026-06-30 15:17:42,28,0,63
2026-06-30 15:17:47,28,0,63
2026-06-30 15:17:52,28,0,63
2026-06-30 15:17:57,28,0,63
2026-06-30 15:18:02,28,0,63
2026-06-30 15:18:07,28,0,63
2026-06-30 15:18:12,28,0,63
2026-06-30 15:18:17,28,0,63
2026-06-30 15:18:22,28,0,63
2026-06-30 15:18:27,28,0,63
2026-06-30 15:18:32,28,0,63
2026-06-30 15:18:37,28,0,63
2026-06-30 15:18:42,28,0,63
2026-06-30 15:18:47,28,0,63
2026-06-30 15:18:52,28,0,63
2026-06-30 15:18:57,28,0,63
2026-06-30 15:19:02,28,0,63
2026-06-30 15:19:08,28,0,63
2026-06-30 15:19:13,28,0,63
2026-06-30 15:19:18,28,0,63
