Timestamp,Total Occupancy,Unique Chokepoint Footfall,Total People Identified
2026-06-30 15:42:16,14,0,29
2026-06-30 15:42:21,25,0,75
2026-06-30 15:42:26,17,0,87
2026-06-30 15:42:31,23,0,103
2026-06-30 15:42:36,21,0,117
2026-06-30 15:42:41,22,0,130
2026-06-30 15:42:46,26,0,154
2026-06-30 15:42:51,27,0,180
2026-06-30 15:42:56,24,0,190
2026-06-30 15:43:01,18,0,207
2026-06-30 15:43:07,23,0,225
2026-06-30 15:43:12,20,0,232
2026-06-30 15:43:17,26,0,245
2026-06-30 15:43:22,23,0,260
2026-06-30 15:43:27,25,0,278
2026-06-30 15:43:33,30,0,304
2026-06-30 15:43:38,27,0,323
2026-06-30 15:43:43,15,0,331
2026-06-30 15:43:48,23,0,351
2026-06-30 15:43:53,21,0,368
2026-06-30 15:43:58,19,0,385
2026-06-30 15:44:03,20,0,399
2026-06-30 15:44:08,24,0,419
2026-06-30 15:44:13,24,0,438
2026-06-30 15:44:19,30,0,464
2026-06-30 15:44:24,20,0,476
2026-06-30 15:44:29,18,0,490
2026-06-30 15:44:34,18,0,504
2026-06-30 15:44:39,23,0,515
2026-06-30 15:44:44,23,0,532
2026-06-30 15:44:49,27,0,544
2026-06-30 15:44:55,25,0,559
2026-06-30 15:45:00,23,0,574
2026-06-30 15:45:05,27,0,588
2026-06-30 15:45:11,24,0,603
2026-06-30 15:45:17,25,0,619
2026-06-30 15:45:23,27,0,639
2026-06-30 15:45:28,26,0,659
2026-06-30 15:45:33,25,0,673
2026-06-30 15:45:39,25,0,687
2026-06-30 15:45:45,31,0,712
2026-06-30 15:45:51,28,0,736
2026-06-30 15:45:57,22,0,751
2026-06-30 15:46:02,20,0,766
2026-06-30 15:46:07,23,0,779
2026-06-30 15:46:14,24,0,797
2026-06-30 15:46:19,23,0,812
2026-06-30 15:46:26,24,0,830
2026-06-30 15:46:31,20,0,846
2026-06-30 15:46:36,21,0,862
2026-06-30 15:46:41,25,0,880
2026-06-30 15:46:46,21,0,896
2026-06-30 15:46:52,21,0,910
2026-06-30 15:46:57,22,0,922
2026-06-30 15:47:02,27,0,937
2026-06-30 15:47:08,21,0,951
2026-06-30 15:47:14,27,0,970
2026-06-30 15:47:19,23,0,983
2026-06-30 15:47:25,24,0,1000
2026-06-30 15:47:30,24,0,1016
2026-06-30 15:47:35,21,0,1029
2026-06-30 15:47:41,21,0,1041
2026-06-30 15:47:47,22,0,1054
2026-06-30 15:47:53,27,0,1072
2026-06-30 15:47:58,29,0,1086
2026-06-30 15:48:03,22,0,1101
2026-06-30 15:48:08,29,0,1116
2026-06-30 15:48:15,24,0,1130
2026-06-30 15:48:20,29,0,1146
2026-06-30 15:48:25,21,0,1156
2026-06-30 15:48:31,28,0,1172
2026-06-30 15:48:37,27,0,1186
2026-06-30 15:48:43,20,0,1202
2026-06-30 15:48:50,23,0,1217
2026-06-30 15:48:56,25,0,1233
2026-06-30 15:49:02,24,0,1247
2026-06-30 15:49:09,23,0,1265
2026-06-30 15:49:15,20,0,1282
2026-06-30 15:49:23,26,0,1301
2026-06-30 15:49:29,22,0,1317
2026-06-30 15:49:35,21,0,1330
2026-06-30 15:49:40,25,0,1340
2026-06-30 15:49:47,24,0,1358
2026-06-30 15:49:52,17,0,1369
2026-06-30 15:49:59,24,0,1385
2026-06-30 15:50:04,26,0,1400
2026-06-30 15:50:10,22,0,1410
2026-06-30 15:50:17,21,0,1425
