Timestamp,Total Occupancy,Unique Chokepoint Footfall,Total People Identified
2026-06-30 14:42:13,12,0,12
2026-06-30 14:42:18,24,0,60
2026-06-30 14:42:23,27,0,77
2026-06-30 14:42:28,27,0,90
2026-06-30 14:42:33,17,0,94
2026-06-30 14:42:38,21,0,101
2026-06-30 14:42:43,25,0,127
2026-06-30 14:42:48,24,0,135
2026-06-30 14:42:53,27,0,149
2026-06-30 14:42:58,27,0,177
2026-06-30 14:43:03,25,0,194
2026-06-30 14:43:08,23,0,209
2026-06-30 14:43:13,15,0,209
2026-06-30 14:43:18,18,0,226
2026-06-30 14:43:23,27,0,238
2026-06-30 14:43:28,25,0,249
2026-06-30 14:43:33,18,0,257
2026-06-30 14:43:38,23,0,269
2026-06-30 14:43:44,23,0,291
2026-06-30 14:43:49,26,0,308
2026-06-30 14:43:54,26,0,321
2026-06-30 14:43:59,22,0,332
2026-06-30 14:44:04,28,0,354
2026-06-30 14:44:09,21,0,385
2026-06-30 14:44:14,23,0,405
2026-06-30 14:44:19,22,0,430
2026-06-30 14:44:25,14,0,462
2026-06-30 14:44:30,17,0,480
2026-06-30 14:44:35,29,0,513
2026-06-30 14:44:40,21,0,522
2026-06-30 14:44:46,25,0,542
2026-06-30 14:44:51,22,0,560
2026-06-30 14:44:57,28,0,586
2026-06-30 14:45:02,27,0,599
2026-06-30 14:45:08,29,0,617
2026-06-30 14:45:13,17,0,627
2026-06-30 14:45:18,17,0,633
2026-06-30 14:45:23,17,0,633
2026-06-30 14:45:28,21,0,643
2026-06-30 14:45:36,29,0,667
2026-06-30 14:45:41,16,0,685
2026-06-30 14:45:46,19,0,703
2026-06-30 14:45:51,20,0,715
2026-06-30 14:45:56,24,0,726
2026-06-30 14:46:02,24,0,731
2026-06-30 14:46:07,23,0,739
2026-06-30 14:46:12,25,0,763
2026-06-30 14:46:17,19,0,774
2026-06-30 14:46:22,29,0,783
2026-06-30 14:46:27,24,0,786
2026-06-30 14:46:33,24,0,793
2026-06-30 14:46:38,20,0,798
2026-06-30 14:46:43,23,0,810
2026-06-30 14:46:48,27,0,825
2026-06-30 14:46:53,23,0,831
2026-06-30 14:46:58,26,0,841
2026-06-30 14:47:05,20,0,853
2026-06-30 14:47:10,23,0,865
2026-06-30 14:47:16,15,0,876
2026-06-30 14:47:21,24,0,885
2026-06-30 14:47:26,18,0,888
2026-06-30 14:47:31,24,0,895
2026-06-30 14:47:36,23,0,900
2026-06-30 14:47:41,23,0,900
2026-06-30 14:47:47,26,0,915
2026-06-30 14:47:52,25,0,920
2026-06-30 14:47:57,20,0,938
2026-06-30 14:48:03,18,0,947
2026-06-30 14:48:09,20,0,955
2026-06-30 14:48:14,15,0,959
2026-06-30 14:48:19,18,0,962
2026-06-30 14:48:24,18,0,972
2026-06-30 14:48:29,20,0,973
2026-06-30 14:48:34,17,0,974
2026-06-30 14:48:40,24,0,985
2026-06-30 14:48:45,24,0,985
2026-06-30 14:48:50,22,0,995
