Timestamp,Total Occupancy,Unique Chokepoint Footfall,Total People Identified
2026-06-30 16:19:04,11,0,29
2026-06-30 16:19:09,30,0,70
2026-06-30 16:19:14,27,0,82
2026-06-30 16:19:19,23,0,98
2026-06-30 16:19:24,19,0,114
2026-06-30 16:19:29,24,0,138
2026-06-30 16:19:34,30,0,161
2026-06-30 16:19:39,21,0,176
2026-06-30 16:19:44,24,0,202
2026-06-30 16:19:49,23,0,219
2026-06-30 16:19:54,25,0,234
2026-06-30 16:19:59,22,0,252
2026-06-30 16:20:05,21,0,272
2026-06-30 16:20:10,25,0,294
2026-06-30 16:20:15,22,0,311
2026-06-30 16:20:21,23,0,332
2026-06-30 16:20:26,19,0,351
2026-06-30 16:20:31,25,0,370
2026-06-30 16:20:36,17,0,381
2026-06-30 16:20:41,30,0,399
2026-06-30 16:20:46,24,0,409
2026-06-30 16:20:51,27,0,427
2026-06-30 16:20:56,22,0,445
2026-06-30 16:21:01,22,0,456
2026-06-30 16:21:06,19,0,474
2026-06-30 16:21:11,20,0,487
2026-06-30 16:21:16,20,0,506
2026-06-30 16:21:22,24,0,524
2026-06-30 16:21:27,24,0,539
2026-06-30 16:21:32,22,0,552
2026-06-30 16:21:37,18,0,565
2026-06-30 16:21:42,22,0,574
2026-06-30 16:21:47,24,0,595
2026-06-30 16:21:52,20,0,610
2026-06-30 16:21:57,21,0,622
2026-06-30 16:22:02,19,0,629
2026-06-30 16:22:07,19,0,638
2026-06-30 16:22:12,21,0,648
2026-06-30 16:22:17,22,0,657
2026-06-30 16:22:22,23,0,671
2026-06-30 16:22:27,21,0,689
2026-06-30 16:22:32,23,0,708
2026-06-30 16:22:38,25,0,726
2026-06-30 16:22:43,26,0,741
2026-06-30 16:22:48,23,0,756
2026-06-30 16:22:53,23,0,768
2026-06-30 16:22:58,24,0,776
2026-06-30 16:23:03,27,0,793
2026-06-30 16:23:08,25,0,808
2026-06-30 16:23:13,16,0,815
2026-06-30 16:23:19,25,0,832
2026-06-30 16:23:24,23,0,844
2026-06-30 16:23:29,22,0,860
2026-06-30 16:23:34,22,0,875
2026-06-30 16:23:39,25,0,889
2026-06-30 16:23:44,26,0,904
2026-06-30 16:23:49,29,0,922
2026-06-30 16:23:54,28,0,939
2026-06-30 16:23:59,30,0,956
2026-06-30 16:24:05,23,0,972
2026-06-30 16:24:10,18,0,983
2026-06-30 16:24:15,15,0,992
2026-06-30 16:24:20,22,0,1009
2026-06-30 16:24:25,28,0,1030
2026-06-30 16:24:30,22,0,1043
2026-06-30 16:24:35,24,0,1059
2026-06-30 16:24:41,22,0,1074
2026-06-30 16:24:46,30,0,1096
2026-06-30 16:24:51,24,0,1110
2026-06-30 16:24:57,20,0,1121
2026-06-30 16:25:02,24,0,1135
2026-06-30 16:25:07,19,0,1145
2026-06-30 16:25:12,23,0,1159
2026-06-30 16:25:17,24,0,1172
2026-06-30 16:25:22,31,0,1193
2026-06-30 16:25:27,26,0,1207
2026-06-30 16:25:33,27,0,1227
2026-06-30 16:25:38,22,0,1237
2026-06-30 16:25:43,14,0,1245
2026-06-30 16:25:49,25,0,1270
2026-06-30 16:25:54,24,0,1288
2026-06-30 16:26:00,21,0,1304
2026-06-30 16:26:05,22,0,1320
2026-06-30 16:26:10,19,0,1330
2026-06-30 16:26:17,25,0,1352
2026-06-30 16:26:22,23,0,1369
2026-06-30 16:26:28,23,0,1388
2026-06-30 16:26:34,22,0,1409
2026-06-30 16:26:39,25,0,1426
2026-06-30 16:26:44,21,0,1434
2026-06-30 16:26:49,23,0,1455
2026-06-30 16:26:54,21,0,1464
2026-06-30 16:27:00,21,0,1480
2026-06-30 16:27:05,21,0,1493
2026-06-30 16:27:10,23,0,1498
2026-06-30 16:27:16,20,0,1510
2026-06-30 16:27:23,23,0,1525
2026-06-30 16:27:29,24,0,1540
2026-06-30 16:27:34,18,0,1546
2026-06-30 16:27:42,19,0,1560
2026-06-30 16:27:47,22,0,1572
2026-06-30 16:27:52,24,0,1581
2026-06-30 16:27:58,22,0,1595
2026-06-30 16:28:04,26,0,1608
2026-06-30 16:28:10,25,0,1621
2026-06-30 16:28:16,24,0,1635
2026-06-30 16:28:24,24,0,1647
2026-06-30 16:28:34,26,0,1668
2026-06-30 16:28:42,25,0,1686
2026-06-30 16:28:47,21,0,1696
2026-06-30 16:28:52,21,0,1706
2026-06-30 16:28:57,23,0,1721
2026-06-30 16:29:02,27,0,1735
2026-06-30 16:29:07,22,0,1747
2026-06-30 16:29:12,27,0,1763
2026-06-30 16:29:17,19,0,1772
2026-06-30 16:29:22,24,0,1787
2026-06-30 16:29:27,18,0,1799
2026-06-30 16:29:33,22,0,1812
2026-06-30 16:29:38,20,0,1823
2026-06-30 16:29:46,13,0,1831
2026-06-30 16:29:52,17,0,1848
2026-06-30 16:29:57,21,0,1860
2026-06-30 16:30:03,24,0,1876
2026-06-30 16:30:08,20,0,1885
2026-06-30 16:30:13,22,0,1903
2026-06-30 16:30:18,24,0,1920
2026-06-30 16:30:23,19,0,1931
2026-06-30 16:30:28,18,0,1944
