Timestamp,Total Occupancy,Unique Chokepoint Footfall,Total People Identified
2026-06-30 14:54:46,10,0,10
2026-06-30 14:54:51,9,0,21
2026-06-30 14:54:56,9,0,21
2026-06-30 14:55:01,11,0,28
2026-06-30 14:55:07,11,0,28
2026-06-30 14:55:12,14,0,49
2026-06-30 14:55:17,14,0,49
2026-06-30 14:55:22,11,0,59
2026-06-30 14:55:27,11,0,59
2026-06-30 14:55:32,11,0,59
2026-06-30 14:55:37,11,0,59
2026-06-30 14:55:42,11,0,59
2026-06-30 14:55:47,11,0,59
2026-06-30 14:55:52,12,0,60
2026-06-30 14:55:57,12,0,60
2026-06-30 14:56:02,12,0,60
2026-06-30 14:56:07,12,0,60
2026-06-30 14:56:12,12,0,60
2026-06-30 14:56:17,12,0,60
2026-06-30 14:56:22,12,0,62
2026-06-30 14:56:27,12,0,62
2026-06-30 14:56:32,12,0,62
2026-06-30 14:56:37,12,0,62
2026-06-30 14:56:42,12,0,62
2026-06-30 14:56:47,12,0,62
2026-06-30 14:56:52,12,0,62
2026-06-30 14:56:57,12,0,62
2026-06-30 14:57:02,12,0,62
2026-06-30 14:57:07,12,0,62
2026-06-30 14:57:12,12,0,62
2026-06-30 14:57:17,12,0,62
2026-06-30 14:57:22,12,0,62
2026-06-30 14:57:27,12,0,62
2026-06-30 14:57:32,12,0,62
2026-06-30 14:57:37,12,0,62
2026-06-30 14:57:42,12,0,62
2026-06-30 14:57:47,12,0,62
2026-06-30 14:57:52,12,0,62
2026-06-30 14:57:57,12,0,62
2026-06-30 14:58:02,12,0,62
2026-06-30 14:58:07,12,0,62
2026-06-30 14:58:12,12,0,62
2026-06-30 14:58:17,12,0,62
2026-06-30 14:58:22,12,0,62
2026-06-30 14:58:27,12,0,62
2026-06-30 14:58:32,12,0,62
2026-06-30 14:58:37,12,0,62
2026-06-30 14:58:42,12,0,62
2026-06-30 14:58:47,12,0,62
2026-06-30 14:58:52,12,0,62
2026-06-30 14:58:57,12,0,62
2026-06-30 14:59:02,12,0,62
2026-06-30 14:59:07,12,0,62
2026-06-30 14:59:12,12,0,62
2026-06-30 14:59:17,12,0,62
2026-06-30 14:59:22,12,0,62
2026-06-30 14:59:27,12,0,62
2026-06-30 14:59:32,12,0,62
2026-06-30 14:59:37,12,0,62
2026-06-30 14:59:42,12,0,62
2026-06-30 14:59:47,12,0,62
2026-06-30 14:59:52,12,0,62
2026-06-30 14:59:57,12,0,62
2026-06-30 15:00:02,12,0,62
2026-06-30 15:00:08,12,0,62
2026-06-30 15:00:13,12,0,62
2026-06-30 15:00:18,12,0,62
2026-06-30 15:00:23,12,0,62
2026-06-30 15:00:28,12,0,62
2026-06-30 15:00:33,12,0,62
