Timestamp,Total Occupancy,Unique Chokepoint Footfall,Total People Identified
2026-06-30 13:14:19,7,0,7
2026-06-30 13:14:24,11,0,17
2026-06-30 13:14:30,12,0,54
2026-06-30 13:14:35,9,0,54
2026-06-30 13:14:40,8,0,62
2026-06-30 13:14:45,8,0,62
2026-06-30 13:14:50,7,0,76
2026-06-30 13:14:55,7,0,76
2026-06-30 13:15:00,7,0,76
2026-06-30 13:15:05,7,0,76
2026-06-30 13:15:10,7,0,76
2026-06-30 13:15:15,7,0,76
2026-06-30 13:15:20,16,0,97
2026-06-30 13:15:25,16,0,97
2026-06-30 13:15:30,16,0,97
2026-06-30 13:15:35,16,0,97
2026-06-30 13:15:40,15,0,138
2026-06-30 13:15:45,15,0,138
2026-06-30 13:15:50,15,0,138
2026-06-30 13:15:55,15,0,165
2026-06-30 13:16:00,15,0,165
2026-06-30 13:16:05,15,0,165
2026-06-30 13:16:10,15,0,165
2026-06-30 13:16:15,15,0,165
2026-06-30 13:16:20,15,0,165
2026-06-30 13:16:25,15,0,165
2026-06-30 13:16:30,15,0,165
2026-06-30 13:16:35,15,0,165
2026-06-30 13:16:40,15,0,165
2026-06-30 13:16:45,15,0,165
2026-06-30 13:16:50,15,0,165
2026-06-30 13:16:55,14,0,170
2026-06-30 13:17:00,18,0,213
2026-06-30 13:17:05,18,0,213
2026-06-30 13:17:10,18,0,213
2026-06-30 13:17:16,18,0,229
2026-06-30 13:17:21,17,0,258
2026-06-30 13:17:26,18,0,283
2026-06-30 13:17:31,21,0,301
2026-06-30 13:17:36,21,0,301
2026-06-30 13:17:41,21,0,301
2026-06-30 13:17:46,18,0,313
2026-06-30 13:17:51,18,0,313
2026-06-30 13:17:56,20,0,321
2026-06-30 13:18:01,20,0,321
2026-06-30 13:18:06,20,0,321
2026-06-30 13:18:11,20,0,321
2026-06-30 13:18:16,20,0,321
2026-06-30 13:18:21,21,0,338
2026-06-30 13:18:26,22,0,355
2026-06-30 13:18:31,22,0,355
2026-06-30 13:18:36,22,0,355
2026-06-30 13:18:41,25,0,377
2026-06-30 13:18:46,27,0,379
2026-06-30 13:18:51,27,0,379
2026-06-30 13:18:56,23,0,395
2026-06-30 13:19:01,23,0,395
2026-06-30 13:19:06,30,0,414
2026-06-30 13:19:11,20,0,419
2026-06-30 13:19:16,25,0,424
2026-06-30 13:19:21,25,0,424
2026-06-30 13:19:26,25,0,424
2026-06-30 13:19:31,25,0,424
2026-06-30 13:19:36,29,0,434
2026-06-30 13:19:41,29,0,434
2026-06-30 13:19:46,29,0,434
2026-06-30 13:19:51,29,0,434
2026-06-30 13:19:56,29,0,434
2026-06-30 13:20:02,28,0,458
2026-06-30 13:20:07,28,0,458
2026-06-30 13:20:12,28,0,458
2026-06-30 13:20:17,28,0,458
2026-06-30 13:20:22,13,0,473
2026-06-30 13:20:27,23,0,482
2026-06-30 13:20:32,27,0,508
2026-06-30 13:20:38,20,0,530
2026-06-30 13:20:43,19,0,534
2026-06-30 13:20:48,31,0,558
2026-06-30 13:20:53,25,0,561
2026-06-30 13:20:58,25,0,579
2026-06-30 13:21:03,20,0,601
2026-06-30 13:21:08,21,0,610
2026-06-30 13:21:13,19,0,625
2026-06-30 13:21:19,20,0,645
2026-06-30 13:21:24,26,0,660
2026-06-30 13:21:30,22,0,676
2026-06-30 13:21:36,18,0,686
2026-06-30 13:21:44,29,0,721
2026-06-30 13:21:49,26,0,739
2026-06-30 13:21:55,25,0,759
2026-06-30 13:22:01,20,0,776
2026-06-30 13:22:06,24,0,799
2026-06-30 13:22:11,22,0,806
2026-06-30 13:22:17,26,0,827
2026-06-30 13:22:23,26,0,837
2026-06-30 13:22:28,28,0,859
2026-06-30 13:22:34,20,0,881
2026-06-30 13:22:40,22,0,896
2026-06-30 13:22:45,22,0,909
